Person Count,Height (cm),Weight (kg),Gender,Age,Time of Day,Density Level,Occlusion Level,Clothing Color,Posture,Carrying Object,Facial Visibility,Emotion,Group Size,Distance from Camera (m),Walking Speed (m/s)
6,160,51,Male,44,Morning,Very High,Low,Purple,Upright,Laptop,Visible,Sad,8,26,1.34
20,178,93,Female,55,Afternoon,Very High,Medium,Blue,Upright,Purse,Visible,Happy,8,48,1.79
18,152,70,Female,15,Afternoon,Medium,High,Yellow,Mixed,Purse,Partially Visible,Neutral,8,38,1.68
13,161,72,Male,27,Afternoon,Low,Medium,Brown,Upright,No Object,Visible,Neutral,9,56,2.47
13,155,65,Female,24,Night,High,Medium,Brown,Upright,No Object,Visible,Happy,3,13,1.63
22,153,58,Female,39,Evening,Medium,Medium,Black,Upright,Laptop,Partially Visible,Neutral,6,52,2.17
6,152,92,Male,37,Morning,High,Medium,Green,Upright,No Object,Visible,Neutral,2,36,1.93
18,153,69,Male,54,Evening,Medium,Medium,Red,Bending,No Object,Partially Visible,Neutral,5,47,2.23
9,170,78,Female,56,Night,Low,High,Red,Upright,Purse,Visible,Sad,4,47,2.18
6,163,46,Male,49,Afternoon,Low,Low,Blue,Upright,Purse,Partially Visible,Neutral,3,36,2.47
15,164,58,Female,21,Night,Very High,Medium,Black,Upright,Purse,Visible,Sad,7,29,1.21
24,166,85,Male,13,Evening,Low,Medium,Red,Moving,No Object,Visible,Happy,5,49,2.66
19,178,49,Female,55,Night,High,High,Brown,Moving,Bag,Partially Visible,Happy,5,32,1.56
20,183,50,Female,57,Night,Medium,Low,Brown,Moving,No Object,Visible,Neutral,10,58,2.56
19,168,85,Female,24,Morning,Medium,Low,Green,Upright,Bag,Visible,Sad,4,41,2.12
20,173,60,Female,14,Night,Medium,Low,Red,Upright,No Object,Visible,Neutral,2,40,2.48
15,178,58,Male,44,Morning,Medium,Medium,Black,Upright,Bag,Visible,Neutral,9,37,1.98
7,176,73,Male,40,Night,High,Medium,Yellow,Mixed,Bag,Visible,Neutral,3,18,1.52
21,151,54,Female,54,Night,High,Low,Green,Upright,No Object,Not Visible,Sad,11,46,1.78
14,189,47,Female,39,Afternoon,Low,Low,Yellow,Upright,Laptop,Visible,Sad,8,18,1.94
15,152,45,Male,48,Morning,Medium,High,Green,Mixed,No Object,Partially Visible,Neutral,3,38,1.85
12,163,48,Female,49,Afternoon,High,Medium,Red,Mixed,No Object,Visible,Neutral,7,48,1.85
8,174,52,Female,12,Afternoon,High,Medium,Brown,Upright,No Object,Visible,Neutral,11,29,1.5
23,163,79,Male,19,Evening,Medium,Low,Purple,Moving,Purse,Partially Visible,Sad,11,59,2.18
20,155,59,Male,49,Morning,High,Low,Purple,Upright,No Object,Partially Visible,Neutral,5,14,1.6
17,186,48,Female,20,Morning,Low,Low,Purple,Upright,Purse,Not Visible,Neutral,1,16,2.25
13,148,45,Female,21,Afternoon,Low,Low,Red,Upright,Bag,Visible,Sad,1,21,2.22
21,156,68,Male,48,Night,High,Medium,Red,Mixed,Laptop,Visible,Neutral,10,58,1.83
15,189,87,Female,21,Afternoon,High,Low,Black,Upright,No Object,Partially Visible,Neutral,8,34,1.8
13,177,61,Female,19,Afternoon,High,Low,Purple,Moving,Purse,Visible,Neutral,8,19,1.6
14,148,48,Male,12,Morning,Low,Low,Purple,Upright,No Object,Visible,Neutral,8,58,2.8
9,178,56,Male,34,Afternoon,Medium,Low,Blue,Bending,No Object,Visible,Neutral,9,27,1.96
6,188,69,Female,42,Afternoon,High,Low,Green,Bending,Bag,Visible,Happy,6,19,1.77
16,149,54,Male,47,Afternoon,Low,Low,Brown,Moving,Bag,Not Visible,Sad,5,54,2.41
22,163,93,Male,55,Afternoon,Medium,Low,Purple,Mixed,No Object,Not Visible,Neutral,3,13,1.81
6,166,83,Male,43,Afternoon,High,Medium,Blue,Moving,No Object,Partially Visible,Sad,4,57,1.92
22,150,62,Female,48,Evening,Low,High,Purple,Moving,No Object,Visible,Neutral,9,7,1.63
21,154,92,Male,22,Afternoon,Medium,Medium,Yellow,Upright,No Object,Partially Visible,Sad,1,36,1.95
10,152,61,Female,28,Night,Low,Low,Red,Mixed,No Object,Partially Visible,Neutral,2,37,2.57
17,153,52,Female,26,Evening,Very High,High,Yellow,Upright,No Object,Partially Visible,Neutral,9,57,1.41
8,163,91,Male,15,Evening,Low,High,Brown,Upright,No Object,Partially Visible,Sad,8,56,2.03
20,165,92,Male,58,Evening,Low,Medium,Purple,Bending,No Object,Not Visible,Neutral,2,51,2.49
19,155,60,Male,23,Night,Low,Low,Blue,Upright,Laptop,Visible,Sad,1,55,2.73
12,158,74,Male,33,Afternoon,Low,Medium,Purple,Bending,Purse,Partially Visible,Neutral,3,52,2.5
6,153,53,Female,29,Night,Low,High,Red,Upright,Purse,Not Visible,Happy,2,33,2.06
24,180,77,Female,14,Morning,High,High,Red,Upright,No Object,Not Visible,Neutral,4,52,1.67
13,154,79,Female,55,Morning,Low,Medium,Black,Mixed,Laptop,Not Visible,Sad,10,47,2.06
22,185,80,Female,22,Night,Medium,Medium,Brown,Mixed,No Object,Visible,Neutral,10,26,1.74
18,169,73,Female,16,Night,Low,High,Blue,Upright,Laptop,Partially Visible,Neutral,4,53,2.26
20,181,80,Female,28,Morning,Medium,Low,Blue,Mixed,No Object,Visible,Happy,4,6,1.96
20,173,72,Female,18,Evening,Low,Low,Green,Upright,Bag,Partially Visible,Neutral,10,10,1.91
8,156,85,Male,59,Evening,High,High,Red,Upright,No Object,Visible,Sad,5,14,1.15
12,172,53,Female,21,Morning,High,Low,Blue,Mixed,Laptop,Visible,Sad,3,34,1.93
14,157,69,Male,26,Evening,High,Low,Blue,Bending,No Object,Not Visible,Neutral,9,9,1.23
14,150,65,Female,25,Evening,Low,Low,Purple,Moving,Laptop,Not Visible,Happy,6,17,2.14
5,156,71,Male,13,Evening,Very High,Low,Purple,Upright,Purse,Visible,Happy,10,18,1.43
15,157,52,Female,12,Evening,High,Low,Brown,Upright,No Object,Visible,Happy,10,18,1.63
8,151,61,Female,36,Night,Low,Medium,Brown,Upright,Purse,Visible,Sad,9,8,1.73
19,146,92,Male,23,Morning,Medium,Medium,Red,Mixed,No Object,Visible,Neutral,11,17,1.59
18,187,50,Female,16,Evening,High,Medium,Red,Upright,Purse,Visible,Happy,6,20,1.61
23,168,76,Female,25,Afternoon,Medium,Low,Green,Upright,No Object,Not Visible,Neutral,7,46,2.15
19,163,78,Female,25,Night,Medium,High,Purple,Upright,Purse,Visible,Neutral,1,37,1.95
12,186,68,Male,32,Afternoon,High,Medium,Black,Bending,Laptop,Visible,Neutral,2,22,1.61
24,155,46,Female,59,Night,Low,High,Yellow,Upright,No Object,Partially Visible,Sad,2,12,1.62
13,163,46,Female,26,Evening,Very High,Low,Green,Moving,Purse,Visible,Neutral,11,33,1.48
11,183,58,Male,45,Morning,Low,Low,Green,Bending,Bag,Visible,Happy,3,22,2.4
23,173,50,Male,48,Night,Low,High,Yellow,Upright,Purse,Visible,Sad,7,43,2.1
12,162,49,Female,14,Morning,Low,High,Black,Upright,No Object,Visible,Happy,5,17,1.91
6,156,53,Male,36,Afternoon,Medium,Low,Yellow,Upright,No Object,Partially Visible,Sad,9,59,2.2
14,146,54,Male,33,Afternoon,Very High,Medium,Yellow,Moving,No Object,Partially Visible,Neutral,4,10,1.04
20,148,86,Female,36,Evening,High,Medium,Yellow,Moving,No Object,Visible,Sad,11,50,1.64
8,152,76,Male,20,Afternoon,Very High,Low,Brown,Upright,No Object,Not Visible,Happy,6,42,1.79
14,180,46,Male,34,Evening,Medium,Medium,Yellow,Bending,Laptop,Not Visible,Neutral,3,42,2.04
7,173,76,Male,17,Evening,Medium,Low,Black,Upright,Purse,Not Visible,Sad,5,54,2.24
18,164,51,Male,57,Morning,Medium,Low,Green,Moving,Purse,Not Visible,Sad,5,29,1.89
14,180,66,Male,40,Morning,Low,High,Black,Mixed,No Object,Not Visible,Sad,8,44,1.84
11,152,46,Female,13,Afternoon,Very High,Medium,Green,Moving,No Object,Not Visible,Happy,4,34,1.57
9,154,49,Female,36,Morning,Medium,High,Red,Upright,Purse,Visible,Neutral,1,42,2.04
16,162,51,Female,56,Night,Medium,Medium,Green,Upright,Purse,Visible,Neutral,9,35,1.85
18,186,66,Male,47,Afternoon,Medium,High,Black,Mixed,Bag,Partially Visible,Neutral,11,59,1.96
23,172,68,Male,25,Afternoon,High,Medium,Black,Upright,Purse,Not Visible,Neutral,3,22,1.49
13,183,62,Female,54,Evening,Low,Medium,Green,Bending,No Object,Not Visible,Neutral,10,45,2.12
8,156,76,Male,20,Night,High,Low,Yellow,Mixed,Purse,Partially Visible,Neutral,1,14,1.73
21,183,81,Female,23,Evening,High,Medium,Blue,Moving,Purse,Not Visible,Happy,4,7,1.35
17,148,81,Male,19,Evening,High,Medium,Brown,Bending,No Object,Partially Visible,Sad,1,43,1.83
19,155,73,Female,56,Night,Low,Medium,Blue,Bending,Purse,Partially Visible,Sad,5,17,1.87
6,168,72,Female,46,Night,Low,Low,Purple,Mixed,No Object,Visible,Neutral,7,5,1.96
11,147,69,Female,36,Morning,Medium,Low,Brown,Upright,No Object,Visible,Sad,11,40,2.0
20,183,56,Male,44,Morning,Very High,High,Black,Mixed,No Object,Visible,Sad,10,38,1.05
21,184,69,Male,24,Afternoon,Very High,High,Black,Upright,Purse,Visible,Happy,11,40,1.55
